Date,Adults,Children,Total,DublinAdults
Jul-14,2509,749,3258,1592
Aug-14,2539,796,3335,1598
Sep-14,2574,828,3402,1633
Oct-14,2580,798,3378,1648
Nov-14,2720,887,3607,1709
Dec-14,2858,880,3738,1868
Jan-15,2980,865,3845,1960
Fev-15,2970,938,3908,1975
Mar-15,3081,1054,4135,2059
Apr-15,3143,1118,4261,2107
May-15,3134,1211,4345,2126
Jun-15,3258,1318,4576,2185
Jul-15,3285,1383,4668,2234
Aug-15,3372,1496,4868,2298
Sep-15,3428,1570,4998,2330
Oct-15,3463,1638,5101,2376
Nov-15,3615,1709,5324,2473
Dec-15,3625,1616,5241,2506
Jan-16,3885,1830,5715,2678
Fev-16,3930,1881,5811,2692
Mar-16,3969,1994,5963,2750
Apr-16,4068,2121,6189,2806
May-16,3993,2177,6170,2767
Jun-16,4152,2206,6358,2871
Jul-16,4177,2348,6525,2922
Aug-16,4248,2363,6611,2950
Sep-16,4283,2426,6709,2988
Oct-16,4377,2470,6847,3036
Nov-16,4436,2549,6985,3024
Dec-16,4643,2505,7148,3162
Jan-17,4760,2407,7167,3247
Fev-17,4875,2546,7421,3310
Mar-17,4909,2643,7552,3299
Apr-17,4972,2708,7680,3337
May-17,4922,2777,7699,3327
Jun-17,5046,2895,7941,3406
Jul-17,5187,2973,8160,3528
Aug-17,5222,3048,8270,3527
Sep-17,5250,3124,8374,3537
Oct-17,5298,3194,8492,3536
Nov-17,5524,3333,8857,3691
Dec-17,5508,3079,8587,3712
Jan-18,5837,3267,9104,3919
Fev-18,6052,3755,9807,4021
Mar-18,6035,3646,9681,4107
Apr-18,5963,3689,9652,4005
May-18,6020,3826,9846,4062
Jun-18,6048,3824,9872,4083
Jul-18,6024,3867,9891,4097
Aug-18,5834,3693,9527,3944
Sep-18,5869,3829,9698,3940
Oct-18,5999,3725,9724,4027
Nov-18,6157,3811,9968,4129
Dec-18,6194,3559,9753,4175
Jan-19,6363,3624,9987,4258
Fev-19,6480,3784,10264,4304
Mar-19,6484,3821,10305,4315
Apr-19,6584,3794,10378,4401
May-19,6504,3675,10179,4367
Jun-19,6497,3749,10246,4356
Jul-19,6497,3778,10275,4300
Aug-19,6490,3848,10338,4312
Sep-19,6524,3873,10397,4370
Oct-19,6688,3826,10514,
