Type	Dublin city & suburbs	Other cities	Large towns	Small towns	Rural	Total
For Sale	2682	1030	1959	1705	3572	10948
Deceased	1355	614	913	897	5414	9193
Vacant Long Term	1265	731	1371	1334	5355	10056
Rental Property	3757	962	1639	1350	2642	10350
Nursing Home	865	409	625	428	1838	4165
Renovation	965	361	556	488	1308	3678
New build	257	84	259	305	1275	2180
Emigrated	172	74	182	160	966	1554
Boarded up habitable	284	316	298	267	379	1544
Hospital	454	117	232	182	484	1469
With Relatives	103	56	96	84	508	847
Other personal use	85	49	107	108	530	879
Abandoned farm house	4	3	4	4	368	383
Other	15940	9427	17234	20388	63077	126066
Total	28188	14233	25475	27700	87716	183312
