Years	VolumeMortgage	Value(€M)	Population(M)	Inflation(%)	GDP(€M)	NewRegisteredProp.	SalesVolNewProp	ValueSales(€M)
2008	55879	15140	4485100	4,07	49500.75	12676		
2009	27924	6431	4533400	-4,46	46985	3743		
2010	20021	4154	4554800	-0,9	47837	1680	5146	1223.6
2011	12834	2428	4574900	2,56	48001.25	834	2751	575.9
2012	17769	3225	4593700	1,7	48109.5	627	3085	598.9
2013	19258	3709	4614700	0,51	48760	1326	3473	632.7
2014	31897	6187	4645400	0,18	52876.5	2574	5388	1110
2015	32236	6326	4687800	0,29	66162	4297	6351	1512.2
2016	35037	7285	4739600	0,01	68595.8	5626	7132	2113.2
2017	36868	8224	4792500	0,34	74148	9466	9402	3044.4
2018	36655	8463	4857000	0,49	80339	10265	11335	3995.4
