Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
One Ireland*,558.72,525.6,481.67,454.44,440.2,432.41,440.76,467,498.79,533.18,571.52,613.09
One Ireland,577.09,541.19,494.57,467.37,453.68,446.94,457.4,486.05,519.88,556.78,597.23,639.15
One Dublin,1017.76,915.23,804.13,777.53,777.28,795.51,856.86,943.26,1025.98,1123.1,1214.25,1264.53
Two Ireland*,697.37,638.92,574.9,545.72,533.96,530.92,554.24,588.74,618.25,665.83,714.74,764.74
Two Ireland,720.24,659.12,592.25,562.91,552.57,550.97,576.45,613.88,645.47,695.13,746.62,798.24
Two Dublin,1269.05,1143.93,1008.64,975.32,999.14,1032.21,1109.54,1217.23,1298.86,1398.12,1511.84,1602.21
Three Ireland*,751.05,693.68,637.07,607.31,594.05,594.3,606.67,647.17,678.87,728.46,775.44,827.18
Three Ireland,776.63,716.68,657.27,627.55,615.45,616.57,630.58,673.79,708.2,759.35,809.61,863.83
Three Dublin,1390.71,1268.6,1142.08,1113.4,1129.07,1150.93,1204.33,1312.66,1412.01,1500.63,1629.75,1743.23
Four+ Ireland*,857.89,795.73,726.21,700.79,696.49,690.93,709.41,746.23,801.55,852.59,909.95,971.53
Four+ Ireland,895.86,830.68,757.49,732.46,732.59,730.72,751.55,793.52,850.95,905.43,964.01,1029.48
Four+ Dublin,1807.16,1669.65,1508.12,1492.56,1598.91,1685.89,1762.97,1928.46,2036.61,2173.56,2261.53,2420.18
