date,Open,Low,High,Close,date1
2013-12-31,54.27,53.8,54.86,54.84,2013-12-31
2014-01-01,54.7,54.7,54.87,54.8,2014-01-01
2014-01-02,54.3299,54.19,55.22,54.61,2014-01-02
2014-01-03,54.67,54.6,54.74,54.61,2014-01-03
2014-01-07,57.9201,57.1,58.55,57.99,2014-01-07
2014-01-08,58.2648,57.1,58.41,57.95,2014-01-08
2014-01-09,58.2301,58.19,58.28,58.24,2014-01-09
2014-01-10,57.81,57.03,58.3,57.9447,2014-01-10
2014-01-11,57.93,57.66,57.95,57.81,2014-01-11
2014-01-13,57.376999999999995,55.38,58.25,57.6476,2014-01-13
2014-01-14,56.0,55.96,57.79,57.3,2014-01-14
2014-01-15,57.73,57.65,57.79,57.79,2014-01-15
2014-01-16,57.12,56.83,58.02,57.19,2014-01-16
2014-01-17,57.13,56.07,57.82,57.36,2014-01-17
2014-01-18,56.32,56.25,56.34,56.32,2014-01-18
2014-01-22,57.5603,57.1,59.31,57.87,2014-01-22
2014-01-23,57.65,55.71,57.67,55.84,2014-01-23
2014-01-24,56.73,56.68,56.75,56.73,2014-01-24
2014-01-27,54.1375,51.85,55.15,53.1,2014-01-27
2014-01-28,52.97,52.75,53.15,53.1,2014-01-28
2014-01-30,61.6029,59.29,63.95,61.15,2014-01-30
2014-01-31,61.05,60.95,61.13,61.08,2014-01-31
2014-02-03,61.82,60.7,63.77,62.6,2014-02-03
2014-02-04,62.49,61.48,63.14,62.69,2014-02-04
2014-02-05,62.61,62.5,62.62,62.62,2014-02-05
2014-02-06,62.0776,60.94,62.78,61.95,2014-02-06
2014-02-07,64.2,61.37,64.57,64.36,2014-02-07
2014-02-08,64.29,64.29,64.38,64.35,2014-02-08
2014-02-13,67.43,63.94,67.5,65.93,2014-02-13
2014-02-14,67.38,67.38,67.49,67.43,2014-02-14
2014-02-18,66.57,66.07,67.5397,67.03,2014-02-18
2014-02-19,68.6497,64.18,69.08,66.36,2014-02-19
2014-02-20,66.38,66.15,66.4,66.3,2014-02-20
2014-02-25,69.535,69.45,71.1,69.75,2014-02-25
2014-02-26,69.94,69.87,70.03,69.91,2014-02-26
2014-02-27,69.19,68.87,70.01,69.74,2014-02-27
2014-02-28,68.98,68.96,69.0,68.98,2014-02-28
2014-03-04,68.88,67.41,69.0,67.9333,2014-03-04
2014-03-05,68.99,68.93,69.0,68.97,2014-03-05
2014-03-06,70.516,70.25,72.08,70.84,2014-03-06
2014-03-07,70.9,70.84,70.91,70.9,2014-03-07
2014-03-10,72.05,69.14,72.15,70.6,2014-03-10
2014-03-11,72.55,69.8,72.75,72.7,2014-03-11
2014-03-12,70.72,69.0,71.35,70.87,2014-03-12
2014-03-14,68.16,67.46,69.43,67.82,2014-03-14
2014-03-17,67.31,66.62,68.95,68.25,2014-03-17
2014-03-19,68.1,67.465,69.29,69.14,2014-03-19
2014-03-20,66.99,66.82,68.34,67.85,2014-03-20
2014-03-25,64.39,63.78,66.19,64.91,2014-03-25
