date,Open,Low,High,Close,Volume,PE,date1,Returns,day,year,MovingAvg,UB,LB,STD,pct_ma,MovingAvgReturn,line
2014-01-01,54.7,54.7,54.87,54.8,46507.0,91.33333333333333,2014-01-01,,Wednesday,2014,,,,,,,0
2014-01-02,54.3299,54.19,55.22,54.61,42190194.0,91.01666666666667,2014-01-02,-0.003467153284671509,Thursday,2014,,,,,,,0
2014-01-03,54.67,54.6,54.74,54.61,36733.0,91.01666666666667,2014-01-03,0.0,Friday,2014,,,,,,,0
2014-01-07,57.9201,57.1,58.55,57.99,74966240.0,96.65,2014-01-07,0.06189342611243376,Tuesday,2014,,,,,,,0
2014-01-08,58.2648,57.1,58.41,57.95,55459381.0,96.58333333333334,2014-01-08,-0.0006897740989825207,Wednesday,2014,,,,1.807379318239536,,,0
2014-01-09,58.2301,58.19,58.28,58.24,69374.0,97.06666666666668,2014-01-09,0.005004314063848048,Thursday,2014,,,,1.8929078160333153,0.012548162558525556,,0
2014-01-10,57.81,57.03,58.3,57.9447,41269922.0,96.5745,2014-01-10,-0.005070398351648464,Friday,2014,,,,1.5348388573397558,0.012227513545130164,,0
2014-01-11,57.93,57.66,57.95,57.81,54902.0,96.35000000000001,2014-01-11,-0.0023246302077669645,Saturday,2014,,,,0.1569277477057817,0.011762587503576772,,0
2014-01-13,57.377,55.38,58.25,57.6476,61492160.0,96.07933333333334,2014-01-13,-0.002809202560110746,Monday,2014,,,,0.21805962028768372,-0.0011779382309321297,,0
2014-01-14,56.0,55.96,57.79,57.3,36423256.0,95.5,2014-01-14,-0.006029739312651383,Tuesday,2014,,,,0.34899784813090795,-0.002245931273665902,,0
2014-01-15,57.73,57.65,57.79,57.79,47027.0,96.31666666666666,2014-01-15,0.008551483420593309,Wednesday,2014,,,,0.24637978407329383,-0.00153649740231685,,0
2014-01-16,57.12,56.83,58.02,57.19,32617536.0,95.31666666666666,2014-01-16,-0.01038241910365123,Thursday,2014,,,,0.28582993545113605,-0.002598901552717403,,0
2014-01-17,57.13,56.07,57.82,57.36,39494802.0,95.60000000000001,2014-01-17,0.002972547648190327,Friday,2014,,,,0.25127823622430645,-0.0015394659815259448,,0
2014-01-18,56.32,56.25,56.34,56.32,18178.0,93.86666666666667,2014-01-18,-0.018131101813110173,Saturday,2014,,,,0.5380241630261552,-0.0046038458321258306,,0
2014-01-22,57.5603,57.1,59.31,57.87,59922824.0,96.45,2014-01-22,0.027521306818181657,Wednesday,2014,,,,0.6206689939089904,0.002106363394040778,,0
2014-01-23,57.65,55.71,57.67,55.84,46086916.0,93.06666666666668,2014-01-23,-0.035078624503196765,Thursday,2014,,,,0.8208714881149054,-0.006619658190717237,,0
2014-01-24,56.73,56.68,56.75,56.73,17000.0,94.55,2014-01-24,0.015938395415472595,Friday,2014,,,,0.8081645871974206,-0.001355495286892472,,0
2014-01-27,54.1375,51.85,55.15,53.1,71902167.0,88.5,2014-01-27,-0.06398730830248534,Monday,2014,,,,1.7722781948666921,-0.014747466477027604,,0
2014-01-28,52.97,52.75,53.15,53.1,97157.0,88.5,2014-01-28,0.0,Tuesday,2014,,,,2.1573988968199456,-0.01112124611440557,,0
2014-01-30,61.6029,59.29,63.95,61.15,146232744.0,101.91666666666667,2014-01-30,0.15160075329566847,Thursday,2014,,,,3.3128431897691644,0.013694643181091792,,0
2014-01-31,61.05,60.95,61.13,61.08,78840.0,101.8,2014-01-31,-0.0011447260834014372,Friday,2014,56.97296666666667,107.55440792742459,6.391525405908759,4.01113076326364,0.020481422865050856,,0
2014-02-03,61.82,60.7,63.77,62.6,72682287.0,104.33333333333334,2014-02-03,0.024885396201702825,Monday,2014,57.344395238095245,107.92583649885316,6.762953977337332,4.7004446598167675,0.022270823022296903,,0
2014-02-04,62.49,61.48,63.14,62.69,44544224.0,104.48333333333333,2014-02-04,0.0014376996805112174,Tuesday,2014,57.729157142857154,108.31059840361507,7.1477158820992415,4.000566209925791,0.03535582461889621,,0
2014-02-05,62.61,62.5,62.62,62.62,48673.0,104.36666666666666,2014-02-05,-0.0011166055192215474,Wednesday,2014,58.110585714285726,108.69202697504363,7.529144453527813,0.8344878668980623,0.035132503515051906,,0
2014-02-06,62.0776,60.94,62.78,61.95,40931732.0,103.25000000000001,2014-02-06,-0.010699457042478322,Thursday,2014,58.299157142857155,108.88059840361507,7.717715882099242,0.687873534888561,0.002672461447422547,0.543845028446513,0
2014-02-07,64.2,61.37,64.57,64.36,59133618.0,107.26666666666667,2014-02-07,0.038902340597255725,Friday,2014,58.60439523809524,109.18583649885315,8.02295397733733,0.8987380040924695,0.01068187478355398,0.4921009381553008,0
2014-02-08,64.29,64.29,64.38,64.35,24575.0,107.25,2014-02-08,-0.00015537600994419698,Saturday,2014,58.89534761904762,109.47678887980553,8.313906358289707,1.0985126307877071,0.005673720341224575,0.44860643377719017,0
2014-02-13,67.43,63.94,67.5,65.93,60279137.0,109.88333333333335,2014-02-13,0.02455322455322473,Thursday,2014,59.275600000000004,109.85704126075791,8.694158739242091,1.5779005038341813,0.010296825315767278,0.46552827992064577,0
2014-02-14,67.38,67.38,67.49,67.43,66206.0,112.38333333333335,2014-02-14,0.022751403003185233,Friday,2014,59.73369523809525,110.31513649885316,9.152253977337338,2.0440352247454516,0.015070427020248633,0.5624816014667882,0
2014-02-18,66.57,66.07,67.5397,67.03,42432430.0,111.71666666666667,2014-02-18,-0.005932077710218087,Tuesday,2014,60.1804761904762,110.76191745123411,9.599034929718286,1.445752399271826,0.01602390288670068,0.6333150169621116,0
2014-02-19,68.6497,64.18,69.08,66.36,61881117.0,110.60000000000001,2014-02-19,-0.009995524392063304,Wednesday,2014,60.61190476190477,111.19334602266268,10.030463501146855,1.1959096955875217,0.006244329888836875,0.6861814940920813,0
2014-02-20,66.38,66.15,66.4,66.3,296018.0,110.5,2014-02-20,-0.000904159132007254,Thursday,2014,61.017142857142865,111.59858411790077,10.435701596384952,0.6061765419415606,0.0060945732644242636,0.6897752069463523,0
2014-02-25,69.535,69.45,71.1,69.75,50489179.0,116.25,2014-02-25,0.05203619909502266,Tuesday,2014,61.6152380952381,112.19667935599601,11.033796834480185,1.4096559864024376,0.01159116817278385,0.7290954516857814,0
2014-02-26,69.94,69.87,70.03,69.91,54903.0,116.51666666666667,2014-02-26,0.0022939068100358284,Wednesday,2014,62.21285714285715,112.79429840361507,11.63141588209924,1.812912022134617,0.007499668934153969,0.8047918703916426,0
2014-02-27,69.19,68.87,70.01,69.74,39713128.0,116.23333333333333,2014-02-27,-0.002431697897296581,Thursday,2014,62.85190476190478,113.43334602266269,12.270463501146864,1.9019121956599976,0.00819974489673827,0.9000061350256734,0
2014-02-28,68.98,68.96,69.0,68.98,24787.0,114.96666666666668,2014-02-28,-0.010897619730427133,Friday,2014,63.3809523809524,113.96239364171032,12.799511120194488,1.5172442123798777,0.008019325829065505,0.9433545705645,0
2014-03-04,68.88,67.41,69.0,67.9333,40606944.0,113.22216666666668,2014-03-04,-0.015173963467671858,Tuesday,2014,63.95682380952383,114.53826507028174,13.37538254876592,0.8263621349022687,0.0051653649619325835,0.925577577327118,0
2014-03-05,68.99,68.93,69.0,68.97,48585.0,114.95,2014-03-05,0.015260557046396839,Wednesday,2014,64.53968095238098,115.12112221313889,13.958239691623064,0.7838952595852542,-0.0021897634477925807,0.9108151658624333,0
2014-03-06,70.516,70.25,72.08,70.84,44480860.0,118.06666666666668,2014-03-06,0.027113237639553533,Thursday,2014,65.38444285714289,115.9658841179008,14.803001596384973,1.0775086440489652,0.00277410271811096,0.9885031694561497,0
2014-03-07,70.9,70.84,70.91,70.9,61285.0,118.16666666666669,2014-03-07,0.0008469791078486999,Friday,2014,66.23206190476193,116.81350316551985,15.650620644004022,1.2998469440669707,0.003429838119140016,1.1328689334420734,0
2014-03-10,72.05,69.14,72.15,70.6,58031228.0,117.66666666666666,2014-03-10,-0.0042313117066292705,Monday,2014,66.68206190476192,117.26350316551984,16.10062064400401,1.3316559157681251,0.0047630997238995885,1.134764182800449,0
2014-03-11,72.55,69.8,72.75,72.7,57992830.0,121.16666666666667,2014-03-11,0.029745042492917984,Tuesday,2014,67.23539523809526,117.81683649885318,16.653953977337352,1.3238655520861105,0.013746900916017556,1.0671949478371798,0
2014-03-12,70.72,69.0,71.35,70.87,45117155.0,118.11666666666667,2014-03-12,-0.025171939477304006,Wednesday,2014,67.6292047619048,118.21064602266271,17.04776350114689,0.85686638398309,0.005660401611277388,0.8771198099447868,0
2014-03-14,68.16,67.46,69.43,67.82,46491541.0,113.03333333333333,2014-03-14,-0.04303654578806282,Friday,2014,67.87349047619051,118.45493173694842,17.2920492154326,1.7534879526247862,-0.008369555074245883,0.6745428114915953,0
2014-03-17,67.31,66.62,68.95,68.25,50587541.0,113.75,2014-03-17,0.006340312592155728,Monday,2014,68.14158571428575,118.72302697504367,17.56014445352784,2.013099600119238,-0.007270888377384477,0.5714230753702533,0
2014-03-19,68.1,67.465,69.29,69.14,42623018.0,115.23333333333333,2014-03-19,0.013040293040293083,Wednesday,2014,68.4839666666667,119.06540792742462,17.90252540590879,2.0188932611706423,-0.003816567428000006,0.477334886745278,0
2014-03-20,66.99,66.82,68.34,67.85,40156627.0,113.08333333333333,2014-03-20,-0.018657795776685027,Thursday,2014,68.65015714285718,119.2315984036151,18.06871588209927,1.2811049917942636,-0.013497135081920608,0.42109545618513694,0
2014-03-25,64.39,63.78,66.19,64.91,66862156.0,108.18333333333334,2014-03-25,-0.043330876934414064,Tuesday,2014,68.67682380952385,119.25826507028177,18.09538254876594,1.5922405597145637,-0.01712892257334262,0.3479213623453335,0
2014-03-26,65.75,60.31,66.1,64.66,94439827.0,107.76666666666667,2014-03-26,-0.0038514866738561526,Wednesday,2014,68.61634761904767,119.19778887980559,18.03490635828976,2.0433477432879914,-0.009291910750501287,0.2208616911579017,0
2014-03-27,60.42,57.98,61.9,60.88,109148042.0,101.46666666666667,2014-03-27,-0.05845963501391882,Thursday,2014,68.3044428571429,118.88588411790082,17.72300159638499,3.208172376914939,-0.022251900271716196,0.15419934384275125,0
2014-04-01,61.2415,60.24,62.99,62.84,57401151.0,104.73333333333335,2014-04-01,0.03219448094612343,Tuesday,2014,68.10491904761909,118.686360308377,17.52347778686118,2.5935631860434647,-0.018421062690550126,0.25364450098440766,0
2014-04-02,63.14,62.01,63.91,62.98,64582032.0,104.96666666666667,2014-04-02,0.002227880330999188,Wednesday,2014,67.94396666666673,118.52540792742464,17.362525405908812,1.6279987714982602,-0.014243927469013285,0.3172599883795061,0
2014-04-03,59.46,59.13,63.17,61.79,81270928.0,102.98333333333333,2014-04-03,-0.018894887265798577,Thursday,2014,67.72920476190481,118.31064602266272,17.147763501146898,1.4191194452898612,-0.009356729535290187,0.33998556058412666,0
2014-04-08,58.1,56.95,58.71,58.24,76848630.0,97.06666666666668,2014-04-08,-0.05745266224308132,Tuesday,2014,67.18110952380958,117.7625507845675,16.59966826305167,1.934135465783027,-0.02007696464913522,0.430784313452055,0
2014-04-10,62.19,58.68,63.53,59.29,111290340.0,98.81666666666666,2014-04-10,0.018028846153846034,Thursday,2014,66.67539523809529,117.2568364988532,16.093953977337378,2.1487135686265164,-0.00477926841558225,0.5902561417935356,0
2014-04-14,59.42,57.78,60.45,58.93,70188805.0,98.21666666666667,2014-04-14,-0.006071850227694409,Monday,2014,66.16063333333338,116.74207459409129,15.579192072575466,2.0327641279793514,-0.012432534650345817,0.7365820587358435,0
2014-04-15,59.082,55.88,59.9,59.67,106298658.0,99.45,2014-04-15,0.01255727133887663,Tuesday,2014,65.71730000000005,116.29874126075796,15.135858739242138,1.341111479333323,-0.010366656448770328,0.7980735449943079,0
2014-04-16,59.77,57.74,60.19,58.55,76769339.0,97.58333333333333,2014-04-16,-0.01876990112284238,Wednesday,2014,65.27047619047624,115.85191745123416,14.689034929718332,0.5695436769902325,-0.01034165922017909,0.7561638772428875,0
