month,Close,month1,Volume,year,monthN
2014-01,61.08,2014-01-01,708523860.0,2014,January
2014-02,68.98,2014-02-01,472602014.0,2014,February
2014-03,60.88,2014-03-01,696647639.0,2014,March
2014-04,59.49,2014-04-01,1010749172.0,2014,April
2014-05,63.06,2014-05-01,831560678.0,2014,May
2014-06,67.6,2014-06-01,353763213.0,2014,June
2014-07,75.31,2014-07-01,377786323.0,2014,July
2014-08,74.55,2014-08-01,240559248.0,2014,August
2014-09,79.37,2014-09-01,417296000.0,2014,September
2014-10,74.02,2014-10-01,651395529.0,2014,October
2014-11,77.47,2014-11-01,319326715.0,2014,November
2014-12,79.665,2014-12-01,347166896.0,2014,December
2015-01,76.0,2015-01-01,343477756.0,2015,January
2015-02,80.56,2015-02-01,186562963.0,2015,February
2015-03,82.91,2015-03-01,297144261.0,2015,March
2015-04,81.66,2015-04-01,167218958.0,2015,April
2015-05,79.19,2015-05-01,200409272.0,2015,May
2015-06,86.6,2015-06-01,221779361.0,2015,June
2015-07,95.92,2015-07-01,531066140.0,2015,July
2015-08,90.25,2015-08-01,401438166.0,2015,August
2015-09,86.039,2015-09-01,235506382.0,2015,September
2015-10,101.99,2015-10-01,306856219.0,2015,October
2015-11,104.01,2015-11-01,312586938.0,2015,November
2015-12,105.2864,2015-12-01,271856784.0,2015,December
2016-01,112.15,2016-01-01,491394597.0,2016,January
2016-02,107.25,2016-02-01,454264220.0,2016,February
2016-03,114.355,2016-03-01,327870137.0,2016,March
2016-04,116.01,2016-04-01,372930830.0,2016,April
2016-05,119.52,2016-05-01,245226044.0,2016,May
2016-06,111.62,2016-06-01,130902557.0,2016,June
2016-07,125.39,2016-07-01,335941229.0,2016,July
2016-08,125.7735,2016-08-01,221848943.0,2016,August
2016-09,127.89,2016-09-01,201671767.0,2016,September
2016-10,132.86,2016-10-01,233555076.0,2016,October
2016-11,118.51,2016-11-01,275990738.0,2016,November
2016-12,115.17,2016-12-01,174932954.0,2016,December
2017-01,130.76,2017-01-01,362859953.0,2017,January
2017-02,135.63,2017-02-01,371017464.0,2017,February
2017-03,142.4465,2017-03-01,320012350.0,2017,March
2017-04,149.8755,2017-04-01,260356078.0,2017,April
2017-05,151.63,2017-05-01,385130879.0,2017,May
2017-06,151.36,2017-06-01,389579152.0,2017,June
2017-07,170.0763,2017-07-01,414337640.0,2017,July
2017-08,171.9001,2017-08-01,288829296.0,2017,August
2017-09,169.7,2017-09-01,286174329.0,2017,September
2017-10,180.4932,2017-10-01,301800483.0,2017,October
2017-11,177.5,2017-11-01,333565648.0,2017,November
2017-12,176.4,2017-12-01,298060335.0,2017,December
2018-01,188.84,2018-01-01,468113983.0,2018,January
2018-02,182.3,2018-02-01,490424690.0,2018,February
2018-03,160.55,2018-03-01,965313258.0,2018,March
2018-04,171.8,2018-04-01,729002899.0,2018,April
2018-05,187.55,2018-05-01,371810456.0,2018,May
2018-06,194.32,2018-06-01,359517558.0,2018,June
2018-07,172.68,2018-07-01,632056175.0,2018,July
2018-08,175.37,2018-08-01,523288029.0,2018,August
2018-09,167.19,2018-09-01,464806141.0,2018,September
2018-10,155.7,2018-10-01,582856789.0,2018,October
2018-11,138.03,2018-11-01,484497710.0,2018,November
2018-12,130.19,2018-12-01,520479619.0,2018,December
2019-01,167.005,2019-01-01,496123996.0,2019,January
2019-02,161.5,2019-02-01,276705206.0,2019,February
2019-03,166.01,2019-03-01,355330382.0,2019,March
2019-04,193.35,2019-04-01,358252958.0,2019,April
2019-05,178.26,2019-05-01,260500539.0,2019,May
2019-06,190.5,2019-06-01,395304791.0,2019,June
2019-07,197.4,2019-07-01,344189656.0,2019,July
2019-08,183.71,2019-08-01,304705339.0,2019,August
2019-09,178.31,2019-09-01,287515782.0,2019,September
2019-10,191.85,2019-10-01,474109454.0,2019,October
2019-11,202.9067,2019-11-01,253385562.0,2019,November
2019-12,204.52,2019-12-01,293268647.0,2019,December
2020-01,201.9547,2020-01-01,318378955.0,2020,January
2020-02,193.69,2020-02-01,290396830.0,2020,February
2020-03,168.0046,2020-03-01,592211390.0,2020,March
2020-04,206.1537,2020-04-01,505156371.0,2020,April
2020-05,223.549,2020-05-01,480712618.0,2020,May
2020-06,219.754,2020-06-01,513263295.0,2020,June
2020-07,252.51,2020-07-01,493387017.0,2020,July
2020-08,293.2,2020-08-01,549097352.0,2020,August
2020-09,261.5,2020-09-01,468086050.0,2020,September
