,week,Open,Low,High,Close,Volume,PE,week1,weekN,year,Returns,MovingAvg,MovingAvgReturn,UB,LB,STD,pct_ma,line
0,2014-01-07/2014-01-13,57.9201,55.38,58.55,57.6476,233311979.0,96.07933333333334,2014-01-07,2,2014,,,,,,,,0
1,2014-01-14/2014-01-20,56.0,55.96,58.02,56.32,108600799.0,93.86666666666667,2014-01-14,3,2014,-0.023029579722312787,,,,,,,0
2,2014-01-21/2014-01-27,57.5603,51.85,59.31,53.1,177928907.0,88.5,2014-01-21,4,2014,-0.057173295454545414,,,,,,,0
3,2014-01-28/2014-02-03,52.97,52.75,63.95,62.6,219091028.0,104.33333333333334,2014-01-28,5,2014,0.17890772128060273,,,,,,,0
4,2014-02-04/2014-02-10,62.49,60.94,64.57,64.35,144682822.0,107.25,2014-02-04,6,2014,0.027955271565495154,58.803520000000006,,111.10144694520525,6.505593054794751,4.615486534700323,,0
5,2014-02-11/2014-02-17,67.43,63.94,67.5,67.43,60345343.0,112.38333333333335,2014-02-11,7,2014,0.04786324786324814,60.760000000000005,0.034904673106497565,113.05792694520525,8.46207305479475,5.89813105992059,0.034904673106497565,0
6,2014-02-18/2014-02-24,66.57,64.18,69.08,66.3,104609565.0,110.5,2014-02-18,8,2014,-0.016758119531365967,62.75600000000001,0.03615896514468693,115.05392694520526,10.458073054794752,5.705473687609117,0.03615896514468693,0
7,2014-02-25/2014-03-03,69.535,68.87,71.1,68.98,90281997.0,114.96666666666668,2014-02-25,9,2014,0.04042232277526403,65.932,0.05567808879064882,118.22992694520525,13.634073054794747,2.5136964812801077,0.05567808879064882,0
8,2014-03-04/2014-03-10,68.88,67.41,72.15,70.6,143228902.0,117.66666666666666,2014-03-04,10,2014,0.02348506813569129,67.532,0.02459355816166653,119.82992694520524,15.234073054794742,2.4063811003247126,0.02459355816166653,0
9,2014-03-11/2014-03-17,72.55,66.62,72.75,68.25,200189067.0,113.75,2014-03-11,11,2014,-0.033286118980169865,68.31199999999998,0.012345280052533525,120.60992694520525,16.01407305479473,1.6210397897645707,0.012345280052533525,0
