date,Close,Volume,Low,High,Open,date1
2014-01-01,54.87,46507.0,54.7,54.87,54.76,2014-01-01
2014-01-02,54.4832,42190194.0,54.19,55.22,54.435,2014-01-02
2014-01-03,54.54,37257229.0,54.27,55.65,55.17,2014-01-03
2014-01-04,54.5,26449.0,54.46,54.52,54.46,2014-01-04
2014-01-06,57.2,67150727.0,54.0,57.26,55.245,2014-01-06
2014-01-07,57.87,75024219.0,57.1,58.55,58.15,2014-01-07
2014-01-08,58.25,55459381.0,57.1,58.41,57.905,2014-01-08
2014-01-09,56.78,90772481.0,56.65,58.96,58.15,2014-01-09
2014-01-10,58.14,41330096.0,57.03,58.3,57.59,2014-01-10
2014-01-11,57.93,54902.0,57.66,57.95,57.92,2014-01-11
2014-01-13,56.0,61492160.0,55.38,58.25,57.86,2014-01-13
2014-01-14,56.89,36423256.0,55.96,57.79,56.35,2014-01-14
2014-01-15,57.49,32652405.0,57.27,58.57,57.59,2014-01-15
2014-01-16,57.2,32666510.0,56.83,58.02,57.17,2014-01-16
2014-01-17,57.39,39494802.0,56.07,57.82,56.2599,2014-01-17
2014-01-18,56.25,18178.0,56.25,56.34,56.32,2014-01-18
2014-01-21,58.55,47413297.0,56.3,58.59,57.8786,2014-01-21
2014-01-22,57.6,59950664.0,57.1,59.31,57.67,2014-01-22
2014-01-23,57.65,46086916.0,55.71,57.67,56.365,2014-01-23
2014-01-24,55.13,53973544.0,54.25,56.75,54.428999999999995,2014-01-24
2014-01-25,54.18,43533.0,54.02,54.3,54.23,2014-01-25
2014-01-27,52.86,71902167.0,51.85,55.15,53.94,2014-01-27
2014-01-28,55.42,46580005.0,52.75,55.48,53.77,2014-01-28
2014-01-29,60.02,95143703.0,53.05,60.2,54.96,2014-01-29
2014-01-30,60.04,146990002.0,59.29,63.95,59.51,2014-01-30
2014-01-31,62.2485,85706318.0,59.84,63.37,60.52,2014-01-31
2014-02-01,62.72,84289.0,62.68,62.78,62.74,2014-02-01
2014-02-03,62.49,72682287.0,60.7,63.77,62.57,2014-02-03
2014-02-04,62.48,44544224.0,61.48,63.14,62.89,2014-02-04
2014-02-05,62.1801,50618109.0,60.45,63.16,61.82,2014-02-05
2014-02-06,62.1799,41356018.0,60.66,62.78,61.5,2014-02-06
2014-02-07,64.3,59133618.0,61.37,64.57,64.49,2014-02-07
2014-02-08,64.34,24575.0,64.29,64.38,64.34,2014-02-08
2014-02-10,63.91,42639617.0,63.47,64.9,63.495,2014-02-10
2014-02-11,64.2779,44070382.0,63.35,65.0,64.8,2014-02-11
2014-02-12,64.64,45341102.0,64.05,65.3,64.35,2014-02-12
2014-02-13,64.36,60394307.0,63.94,67.5,66.807,2014-02-13
2014-02-14,67.12,35115980.0,66.72,67.8,67.3964,2014-02-14
2014-02-15,67.15,16154.0,67.09,67.15,67.13,2014-02-15
2014-02-18,67.15,42432430.0,66.07,67.5397,67.26,2014-02-18
2014-02-19,68.84,61881117.0,64.18,69.08,68.7,2014-02-19
2014-02-20,69.19,128058237.0,65.16,70.11,66.21,2014-02-20
2014-02-21,70.28,69112097.0,68.45,70.32,69.415,2014-02-21
2014-02-22,68.52,28582.0,68.51,68.6,68.54,2014-02-22
2014-02-24,70.63,74654456.0,67.99,71.44,71.2,2014-02-24
2014-02-25,69.94,50601672.0,69.45,71.1,70.88,2014-02-25
2014-02-26,70.6081,53531631.0,68.85,71.22,69.3,2014-02-26
2014-02-27,69.02,39751644.0,68.87,70.01,69.72,2014-02-27
2014-02-28,69.21,64844738.0,67.38,69.88,68.68,2014-02-28
2014-03-01,68.28,78928.0,68.03,68.31,68.31,2014-03-01
2014-03-03,67.27199999999999,54484327.0,66.5,68.46,67.375,2014-03-03
2014-03-04,68.715,40649526.0,67.41,69.0,68.33,2014-03-04
2014-03-05,71.55,72453163.0,68.76,71.97,71.92,2014-03-05
2014-03-06,71.37,44525655.0,70.25,72.08,70.76,2014-03-06
2014-03-07,69.78,37909826.0,69.47,71.44,71.21,2014-03-07
2014-03-08,69.78,36072.0,69.71,69.79,69.77,2014-03-08
2014-03-10,72.1,58031228.0,69.14,72.15,70.79,2014-03-10
2014-03-11,72.53,57992830.0,69.8,72.75,72.2,2014-03-11
2014-03-12,70.495,45117155.0,69.0,71.35,69.9,2014-03-12
2014-03-13,68.525,55331412.0,68.15,71.45,69.9001,2014-03-13
2014-03-14,67.72,46491541.0,67.46,69.43,67.9628,2014-03-14
2014-03-17,68.75,50587541.0,66.62,68.95,68.801,2014-03-17
2014-03-18,69.31,38388850.0,68.3,69.6,69.2,2014-03-18
2014-03-19,68.1158,42623018.0,67.465,69.29,68.11,2014-03-19
2014-03-20,67.77,40156627.0,66.82,68.34,66.98,2014-03-20
2014-03-21,67.1,56670542.0,65.89,67.92,66.96,2014-03-21
2014-03-24,64.04,82891519.0,63.36,67.5,67.28,2014-03-24
2014-03-25,64.26899999999999,66862156.0,63.78,66.19,64.88,2014-03-25
2014-03-26,60.99,94439827.0,60.31,66.1,60.45,2014-03-26
2014-03-27,60.86,109148042.0,57.98,61.9,60.94,2014-03-27
2014-03-28,60.05,65107142.0,59.335,61.95,60.04,2014-03-28
2014-03-31,60.3709,51484097.0,59.87,61.52,60.818999999999996,2014-03-31
2014-04-01,60.59,57401151.0,60.24,62.99,62.79,2014-04-01
2014-04-02,62.72,64582032.0,62.01,63.91,63.08,2014-04-02
2014-04-03,62.44,81270928.0,59.13,63.17,60.0204,2014-04-03
2014-04-04,57.24,121300560.0,56.32,60.2,59.72,2014-04-04
2014-04-07,56.22,104328356.0,55.44,58.0,55.903,2014-04-07
2014-04-08,58.27,76848630.0,56.95,58.71,58.13,2014-04-08
2014-04-09,61.0698,96157108.0,58.39,62.87,61.3355,2014-04-09
2014-04-10,61.162,111290340.0,58.68,63.53,62.65,2014-04-10
2014-04-11,58.47,89285703.0,57.31,60.31,58.55,2014-04-11
2014-04-14,58.98,70188805.0,57.78,60.45,59.4,2014-04-14
2014-04-15,58.2,106298658.0,55.88,59.9,57.35,2014-04-15
2014-04-16,58.6,76769339.0,57.74,60.19,59.8,2014-04-16
2014-04-17,59.52,67272283.0,58.45,60.58,58.96,2014-04-17
