hour,Monday,Tuesday,Wednesday,Thursday,Friday
8,175.78,177.35642857142858,178.38857142857142,175.87,180.425
9,178.12,178.55,176.49,174.79,178.96
10,176.286,173.2,176.41363636363639,175.8,177.47318181818184
11,176.47529411764708,175.1910960960961,175.65,174.48066666666665,176.61388888888888
12,176.42000000000002,175.83657142857146,174.86194000000003,174.76,177.53499999999997
13,176.41,175.82495,175.285,175.3792531914894,177.3204166666667
14,176.15342881355937,175.45583749999997,175.85437000000005,174.93,176.8695711111111
15,175.03,175.5450183333333,175.98825333333335,175.62,176.82688166666668
16,175.03287333333336,175.5937166666667,175.71,174.75900750000002,176.87380083333335
17,175.30271333333334,175.72154,175.72917166666664,175.3451266666666,176.67320833333338
18,175.2341099999999,175.41789,175.8357,175.385,176.41922333333335
19,175.358205,176.08365083333334,175.848505,174.8539,176.36010500000003
20,175.01197142857143,175.9533425,175.97503896103896,175.2,176.72
21,175.07937499999997,175.8,175.77360909090908,174.8293765625,176.56074074074073
22,176.32,175.6086,175.24,175.31,176.63833333333332
23,176.3543478260869,175.23000000000002,175.32,175.39433000000002,176.6614285714286
