,hour,day,Volume
0,8,Monday,1151795.3371761288
1,8,Tuesday,865096.6906837418
2,8,Wednesday,940709.9919431882
3,8,Thursday,2791718.686119969
4,8,Friday,816011.5909651559
5,9,Monday,1147756.3335920286
6,9,Tuesday,1162904.879952763
7,9,Wednesday,1400354.0435489966
8,9,Thursday,2498382.072698841
9,9,Friday,1087967.8765493955
10,10,Monday,1436427.1751418295
11,10,Tuesday,1756079.254763965
12,10,Wednesday,2074021.223626113
13,10,Thursday,4080007.0752404933
14,10,Friday,1437944.0360862627
15,11,Monday,6835054.76687453
16,11,Tuesday,7437372.876414782
17,11,Wednesday,8396004.365553143
18,11,Thursday,17463698.879114177
19,11,Friday,5804309.076134472
20,12,Monday,21070306.977281876
21,12,Tuesday,22335549.10495187
22,12,Wednesday,29161284.23504644
23,12,Thursday,53107394.743979186
24,12,Friday,22393454.260143526
25,13,Monday,687387690.4589708
26,13,Tuesday,789801012.4548115
27,13,Wednesday,777138578.1285421
28,13,Thursday,955169729.7031462
29,13,Friday,717763062.0091546
30,14,Monday,1015808049.9370775
31,14,Tuesday,1193943797.7002354
32,14,Wednesday,1136277268.909322
33,14,Thursday,1420944025.7156878
34,14,Friday,1083467473.8786075
35,15,Monday,834211140.1712934
36,15,Tuesday,989246426.7100334
37,15,Wednesday,984999934.9669513
38,15,Thursday,1125829587.195471
39,15,Friday,858635479.4600196
40,16,Monday,615341589.449144
41,16,Tuesday,730187086.4884331
42,16,Wednesday,730974403.936786
43,16,Thursday,826163416.4930161
44,16,Friday,667482580.6108876
45,17,Monday,517758772.4897694
46,17,Tuesday,633042806.6843486
47,17,Wednesday,657989113.3096281
48,17,Thursday,712049010.9555908
49,17,Friday,577036230.6425813
50,18,Monday,523663538.0933265
51,18,Tuesday,645916008.1252973
52,18,Wednesday,721385482.1191334
53,18,Thursday,712464198.4104778
54,18,Friday,560269889.7240553
55,19,Monday,776798386.9511796
56,19,Tuesday,961182444.369364
57,19,Wednesday,1047448123.6212754
58,19,Thursday,1033222119.009978
59,19,Friday,872904088.3822706
60,20,Monday,423119475.9839951
61,20,Tuesday,496909351.20048314
62,20,Wednesday,616548853.7149372
63,20,Thursday,557524189.6387825
64,20,Friday,584258794.5973812
65,21,Monday,97960639.1600858
66,21,Tuesday,102438997.06153199
67,21,Wednesday,196741241.68469656
68,21,Thursday,102086422.04442906
69,21,Friday,114425561.72644135
70,22,Monday,10256730.789194657
71,22,Tuesday,13847736.199127518
72,22,Wednesday,57015182.98965176
73,22,Thursday,11873878.34924016
74,22,Friday,9149367.831949783
75,23,Monday,4919367.113959999
76,23,Tuesday,8250519.997361933
77,23,Wednesday,17438368.83671163
78,23,Thursday,8723137.957168968
79,23,Friday,5072661.699740171
