,hour,day,Close
0,8,Monday,175.78
1,8,Tuesday,177.35642857142858
2,8,Wednesday,178.38857142857142
3,8,Thursday,175.87
4,8,Friday,180.425
5,9,Monday,178.12
6,9,Tuesday,178.55
7,9,Wednesday,176.49
8,9,Thursday,174.79
9,9,Friday,178.96
10,10,Monday,176.286
11,10,Tuesday,173.2
12,10,Wednesday,176.41363636363639
13,10,Thursday,175.8
14,10,Friday,177.47318181818184
15,11,Monday,176.47529411764708
16,11,Tuesday,175.1910960960961
17,11,Wednesday,175.65
18,11,Thursday,174.48066666666665
19,11,Friday,176.61388888888888
20,12,Monday,176.42000000000002
21,12,Tuesday,175.83657142857146
22,12,Wednesday,174.86194000000003
23,12,Thursday,174.76
24,12,Friday,177.53499999999997
25,13,Monday,176.41
26,13,Tuesday,175.82495
27,13,Wednesday,175.285
28,13,Thursday,175.3792531914894
29,13,Friday,177.3204166666667
30,14,Monday,176.15342881355937
31,14,Tuesday,175.45583749999997
32,14,Wednesday,175.85437000000005
33,14,Thursday,174.93
34,14,Friday,176.8695711111111
35,15,Monday,175.03
36,15,Tuesday,175.5450183333333
37,15,Wednesday,175.98825333333335
38,15,Thursday,175.62
39,15,Friday,176.82688166666668
40,16,Monday,175.03287333333336
41,16,Tuesday,175.5937166666667
42,16,Wednesday,175.71
43,16,Thursday,174.75900750000002
44,16,Friday,176.87380083333335
45,17,Monday,175.30271333333334
46,17,Tuesday,175.72154
47,17,Wednesday,175.72917166666664
48,17,Thursday,175.3451266666666
49,17,Friday,176.67320833333338
50,18,Monday,175.2341099999999
51,18,Tuesday,175.41789
52,18,Wednesday,175.8357
53,18,Thursday,175.385
54,18,Friday,176.41922333333335
55,19,Monday,175.358205
56,19,Tuesday,176.08365083333334
57,19,Wednesday,175.848505
58,19,Thursday,174.8539
59,19,Friday,176.36010500000003
60,20,Monday,175.01197142857143
61,20,Tuesday,175.9533425
62,20,Wednesday,175.97503896103896
63,20,Thursday,175.2
64,20,Friday,176.72
65,21,Monday,175.07937499999997
66,21,Tuesday,175.8
67,21,Wednesday,175.77360909090908
68,21,Thursday,174.8293765625
69,21,Friday,176.56074074074073
70,22,Monday,176.32
71,22,Tuesday,175.6086
72,22,Wednesday,175.24
73,22,Thursday,175.31
74,22,Friday,176.63833333333332
75,23,Monday,176.3543478260869
76,23,Tuesday,175.23000000000002
77,23,Wednesday,175.32
78,23,Thursday,175.39433000000002
79,23,Friday,176.6614285714286
