,weekNum,year,level_2,Close
0,01 week,2014,Close,78.23
1,01 week,2016,Close,96.791
2,01 week,2017,Close,125.11
3,01 week,2018,Close,188.18
4,01 week,2019,Close,174.47
5,10 week,2014,Close,72.1
6,10 week,2015,Close,79.4
7,10 week,2016,Close,109.1
8,10 week,2017,Close,139.3348
9,10 week,2018,Close,184.9563
10,10 week,2019,Close,173.87
11,10 week,2020,Close,170.83
12,11 week,2014,Close,68.75
13,11 week,2015,Close,78.0
14,11 week,2016,Close,111.83
15,11 week,2017,Close,139.99
16,11 week,2018,Close,172.5
17,11 week,2019,Close,160.82
18,11 week,2020,Close,151.695
19,12 week,2014,Close,64.04
20,12 week,2015,Close,83.6
21,12 week,2016,Close,113.47
22,12 week,2017,Close,140.02
23,12 week,2018,Close,159.0
24,12 week,2019,Close,163.85
25,12 week,2020,Close,146.99
26,13 week,2014,Close,60.3709
27,13 week,2015,Close,83.13
28,13 week,2016,Close,112.3
29,13 week,2017,Close,141.9
30,13 week,2018,Close,155.0
31,13 week,2019,Close,168.22
32,13 week,2020,Close,159.82
33,14 week,2014,Close,56.22
34,14 week,2015,Close,82.51
35,14 week,2016,Close,108.6
36,14 week,2017,Close,141.13
37,14 week,2018,Close,156.35
38,14 week,2019,Close,174.93
39,14 week,2020,Close,160.055
40,15 week,2014,Close,58.98
41,15 week,2015,Close,83.74
42,15 week,2016,Close,110.16
43,15 week,2017,Close,141.0391
44,15 week,2018,Close,165.53
45,15 week,2019,Close,178.8795
46,15 week,2020,Close,170.9399
47,16 week,2014,Close,59.605
48,16 week,2015,Close,82.895
49,16 week,2016,Close,110.07
50,16 week,2017,Close,145.26
51,16 week,2018,Close,166.86
52,16 week,2019,Close,179.7419
53,16 week,2020,Close,178.56
54,17 week,2014,Close,55.86
55,17 week,2015,Close,82.15
56,17 week,2016,Close,118.51
57,17 week,2017,Close,152.1324
58,17 week,2018,Close,174.2
59,17 week,2019,Close,194.86
60,17 week,2020,Close,188.05
61,18 week,2014,Close,59.96
62,18 week,2015,Close,79.07
