AgeGroups,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0  - 01,73.6,74.9,72.5,72.7,68.6,66.9,64.2,62.2,64,61.5,61.4
01 - 04,261.7,272,283.6,285.5,284.4,278.4,273.8,269.2,260.7,257.8,253.9
05 - 09,310.7,314.6,319.6,325.3,333,342.1,349.3,355.3,359.1,356.9,352.2
10 - 14,290.5,296.1,301,304.5,307.9,310.1,314.4,318.9,323.3,332.6,341.4
15 - 19,294.3,289.4,281,281.5,284.4,290.6,296.1,301.2,308.5,316.2,319.9
20 - 24,354.4,326.3,298.6,285.1,278.9,276.6,275.5,273.5,276.3,289.3,298.1
25 - 29,400.6,381.6,362.9,341.5,321.8,305.9,298.7,296.7,292.4,291.1,289.2
30 - 34,374.5,381.2,393.4,394,391.4,382.5,369.2,360.3,347.9,335.8,330.8
35 - 39,356.3,359.7,363.1,365.2,366.8,371.6,379.8,388.1,394.6,398.3,397.1
40 - 44,316.7,321.8,329.3,334.6,341,347.4,353,356.5,363.1,369.9,379.9
45 - 49,295.6,300.9,304.1,307.7,310.1,312.6,317,324.9,333.1,341.2,351.1
50 - 54,262.3,267.4,273.7,278.2,282.8,289.2,295.2,298.4,303.3,306.7,310.5
55 - 59,235.7,239.6,243.4,248,251.1,255.7,260.6,268.2,274,279.9,285.9
60 - 64,207.7,214,217.1,219.9,223.2,226.4,230.8,236.5,242.3,246.5,253.8
65 - 69,156.6,163.5,172.1,181.6,190,197.2,203.6,208,211.3,215.8,219.3
70 - 74,124.6,127.9,130.1,133.1,138.7,144.4,150.8,159.9,169.2,177.7,184.9
75 - 79,96.8,99.1,101.4,103.9,106.4,109.1,112.2,114.2,116.8,121.9,127.5
80 - 84,66.9,68.4,69.8,71.5,73.4,76.1,78.8,80.5,82.9,85.1,87.4
85_+,54,56.1,58.2,59.8,60.7,62.7,64.9,67.3,69.7,73,77.3
