county,0-19,20-64,65(+),0-19F,20-64F,65(+)F,R0-19,R20-64,R65(+),R0-19F,R20-64F,R65(+)F
Blekinge,15018,36979,13695,13871,34012,16664,2695,7712,3374,2549,6875,2809
Dalarna,26604,64611,24675,24915,61578,29551,4905,14146,6770,4598,12765,5910
Gotland,3685,9786,3795,3463,9936,4980,2292,6204,2793,2139,5845,2473
G„vleborg,25561,63061,23285,24026,61055,29075,5807,16356,7464,5385,14681,6059
Halland,32097,73309,26003,29967,72378,31431,5908,14664,5280,5546,13577,4624
J„mtland,10273,25600,8716,9743,25173,11171,3760,10649,5187,3561,9251,4292
J”nk”ping,35677,82990,26866,33517,78834,33700,6583,16793,6094,6211,15312,5260
Kalmar,20682,52894,20443,19412,50438,24983,5022,13893,6671,4745,12622,5874
Kronoberg,18269,43454,13879,16993,40744,17184,4452,11797,5145,4415,10755,4282
Norrbotten,22522,60678,20633,20741,56327,25477,4092,12974,6536,3772,10728,5253
Sk†ne,139364,339445,103107,131476,336507,127211,14331,38931,13099,13665,35793,10698
Stockholm,265963,657785,149457,250671,647825,188355,7771,21686,7965,7549,19826,6586
S”dermanland,29038,65776,23873,27627,63956,29142,4772,12795,5575,4304,12215,4639
Uppsala,33588,85335,23587,31707,85458,29125,7905,19332,6934,7340,18159,5694
V„rmland,22691,59167,21177,21700,56996,27151,6997,19680,8538,6404,17673,7730
V„sterbotten,23577,62392,18050,22087,59604,23273,5901,15734,7276,5583,13981,5920
V„sternorrland,21640,54144,19996,20713,51850,24862,5377,14674,6823,4927,13101,5790
V„stmanland,27180,66193,22959,25430,63560,27932,3406,9218,3610,3229,8608,2951
V„stra G”taland,166974,418927,120110,156749,409298,148844,25600,67652,26399,24165,61825,22139
™rebro,29048,68930,22907,27171,67404,28750,5083,13954,5497,4909,12850,4509
™sterg”tland,44586,111571,34273,41755,105656,42780,7201,19299,7383,6988,17974,6195
Sweden,1014037,2503027,741486,953734,2438589,921641,139860,378143,154413,131984,344416,129687
