ageGroup,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0  - 01,107757,109664,112120,115910,112114,113487,114008,115880,115878,119023,116614,116839,115383
01 - 04,417548,427318,436102,445878,455255,460096,465011,468277,470340,478018,485430,487659,486335
05 - 09,476238,488735,503934,515657,530937,543993,557950,571614,589118,600853,612180,619473,624084
10 - 14,540190,516685,497286,487514,485964,494283,509132,526262,541807,563100,580453,595758,609019
15 - 19,637028,641408,638533,618605,592376,564627,543627,527236,522472,529612,544838,559513,568909
20 - 24,557526,580335,605453,632016,650862,667153,671940,671529,656448,640179,616919,597593,587699
25 - 29,554452,562889,571759,581923,595136,609060,631255,655755,682413,711687,734003,741322,739696
30 - 34,593201,585237,580069,581869,585111,591487,599989,609378,619071,641176,662493,690141,715891
35 - 39,626492,626711,634498,633882,625948,616777,608912,604368,608570,617317,628193,640119,650598
40 - 44,671687,674250,663060,652226,645713,640696,641199,650114,651944,647816,641675,635836,631263
45 - 49,588628,600199,621146,642527,662411,677490,681129,670744,662423,658991,656677,658339,667092
50 - 54,582802,582070,585136,584733,584502,588708,600575,622044,644465,666684,683300,687849,677755
55 - 59,598262,585906,575354,571439,574437,576186,576035,579308,580194,581418,586614,598967,620108
60 - 64,622703,629859,625455,614145,597421,583567,571895,561962,558647,562422,564707,565066,568390
65 - 69,454486,481821,513757,547685,578463,595931,603356,599138,588931,573266,560392,549311,540048
70 - 74,353834,365112,378574,389615,401432,422593,448830,479257,511169,539911,556484,563648,560415
75 - 79,309131,305035,304061,303042,306555,311611,322304,335081,345477,356786,376600,400619,428598
80 - 84,250670,248604,246209,245687,244891,245180,242688,242924,243179,247030,252121,261527,273050
85_+,240292,244509,248176,251217,253327,252968,255029,256484,258471,259864,260549,260606,263256
