Population,2016,Area(km2),DD_2016,,Urban_2016,Rural_2016,Total,Urban_16pct,Rural_16pct
CARLOW,56932,897,63.469342252,Carlow,10592,9873,20465,51.7566577082824,48.2433422917176
DUBLIN,1347359,922,1461.3438177874,Dublin,470738,8421,479159,98.2425457937762,1.75745420622382
KILDARE,222504,1695,131.2707964602,Kildare,50433,22915,73348,68.7585210230681,31.2414789769319
KILKENNY,99232,2073,47.8687891944,Kilkenny,13983,20760,34743,40.2469562213971,59.7530437786029
LAOIS,84697,1720,49.2424418605,Laois,14281,14716,28997,49.2499224057661,50.7500775942339
LONGFORD,40873,1091,37.4637946838,Longford,5234,9858,15092,34.680625496952,65.319374503048
LOUTH,128884,826,156.0338983051,Louth,31031,14332,45363,68.4059696228204,31.5940303771796
MEATH,195044,2342,83.2809564475,Meath,37177,26684,63861,58.2154992875151,41.7845007124849
OFFALY,77961,2001,38.9610194903,Offaly,12107,15077,27184,44.5372277810477,55.4627722189523
WESTMEATH,88770,1840,48.2445652174,Westmeath,16121,15564,31685,50.8789648098469,49.1210351901531
WEXFORD,149722,2367,63.2539079003,Wexford,22184,31822,54006,41.0769173795504,58.9230826204496
WICKLOW,142425,2027,70.2639368525,Wicklow,32195,16810,49005,65.6973778185899,34.3026221814101
CLARE,118817,3450,34.4397101449,Clare,17691,25657,43348,40.8115714681185,59.1884285318815
CORK,542868,7500,72.3824,Cork,175358,69434,244792,71.6355109644106,28.3644890355894
KERRY,147707,4807,30.7274807572,Kerry,19410,34878,54288,35.7537577365164,64.2462422634836
LIMERICK,194899,2756,70.7180696662,Limerick,39348,31674,71022,55.4025513221255,44.5974486778745
TIPPERARY,159553,4305,37.062253194,Tipperary,26047,33024,59071,44.0943948807368,55.9056051192633
WATERFORD,116176,1875,61.9605333333,Waterford,27680,15775,43455,63.6980784719825,36.3019215280175
GALWAY,258058,6149,41.9674743861,Galway,43750,47806,91556,47.7849622089213,52.2150377910787
LEITRIM,32044,1590,20.1534591195,Leitrim,1338,11066,12404,10.7868429538858,89.2131570461142
MAYO,130507,5586,23.3632295023,Mayo,14284,34461,48745,29.3035183095702,70.6964816904298
ROSCOMMON,64544,2548,25.3312401884,Roscommon,6599,17363,23962,27.5394374426175,72.4605625573825
SLIGO,65535,1838,35.6556039173,Sligo,10235,14526,24761,41.33516416946,58.66483583054
CAVAN,76176,1932,39.4285714286,Cavan,8586,18220,26806,32.0301425054092,67.9698574945908
DONEGAL,159192,4861,32.7488171158,Donegal,16761,41544,58305,28.7471057370723,71.2528942629277
MONAGHAN,61386,1295,47.4023166023,Monaghan,7044,14568,21612,32.5930038867296,67.4069961132704
