AgeGroup,sex,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0  - 01,male,27.8,31,31.5,31.5,31.3,34.1,36.9,37.7,38.5,36.9,37,35,34,33,32,33,31.3,31.2
01 - 04,male,114.2,114.4,117.2,120.2,123.4,125.3,129.1,133.8,139.1,145.1,145.5,144.9,141.7,139.6,137.8,133.4,132,129.9
05 - 09,male,135.9,137.8,141.2,144.3,148.1,151.9,156.3,158.5,160.8,163.5,166.4,170.7,175.1,178.5,181.4,183.1,182.1,180.2
10 - 14,male,146.1,144.4,142.8,142,140.7,141.9,145.3,149.2,152.1,154.5,156.3,157.1,158.4,160.9,163.1,165.5,170.5,175.2
15 - 19,male,160.4,155.9,152.7,149.8,148.7,147.5,149.6,150.3,147.7,143.7,144.3,145.9,149.1,152,154.4,157.6,161.2,162.3
20 - 24,male,165.3,167,168.2,170,175.5,187.6,186.5,173.5,160.1,148.6,141.5,140.1,139.4,139.9,138.4,140.4,147.3,151.5
25 - 29,male,156.1,158.6,162.9,174.1,190.2,202.6,204.7,198.4,186.1,175.1,163.4,154.7,147.2,143.7,145.2,144.3,145.2,145.3
30 - 34,male,152.4,158.2,161.8,168.7,176.4,184.6,186.9,188.1,189.8,194.9,193.3,190.7,184.9,177,172.5,166.3,161.1,159.8
35 - 39,male,144.5,147.4,152.4,157.8,162.8,171.3,177.6,180.3,181,181.9,182.3,182.7,183.8,186.9,190.6,192.7,193.1,192
40 - 44,male,135.3,138.9,142.5,147.1,150.4,154.9,157.5,159.5,162.2,165.9,168,170.9,172.9,175,177.2,180.1,183.2,187.4
45 - 49,male,125,126.9,129.7,132.9,137.4,141.2,144.5,147.9,149.8,151.3,153,154.4,156.1,158.4,162.5,166.2,170.2,174.7
50 - 54,male,116.6,118.5,120.1,122.9,124.1,127.4,129.5,131.6,133.7,136.7,138.3,140.6,143.4,146.1,147.7,150.1,152,154.5
55 - 59,male,99.8,104.9,108.5,112,113.2,115.2,117.3,118.7,120.3,121.8,123.8,125.1,127.2,129.3,133.1,135.9,138.6,141.1
60 - 64,male,77.6,80.7,83.8,86.7,90.6,96.1,101,104.9,107.6,109.2,110.1,111.5,112.9,115,117.7,120.5,122.4,126
