Transmissibility,Russian Flu,Spanish Flu,Asian Flu,Hong Kong Flu,Swine Flu,Covid-19,Seasonal Flu
1st wave,2.10,1.87,1.62,1.71,1.5,2.65,1.28
2nd wave,4.41,3.50,2.62,2.92,2.25,7.02,1.64
3rd wave,9.26,6.54,4.25,5.00,3.38,18.61,2.10
4th wave,19.45,12.23,6.89,8.55,5.06,49.32,2.68
5th wave,40.84,22.87,11.16,14.62,7.59,130.69,3.44
6th wave,85.77,42.76,18.08,25.00,11.39,346.32,4.40
7th wave,180.11,79.96,29.28,42.75,17.09,917.74,5.63
8th wave,378.23,149.53,47.44,73.11,25.63,"2,432.02",7.21
9th wave,794.28,279.62,76.85,125.02,38.44,"6,444.85",9.22
10th wave,"1,667.99",522.90,124.49,213.78,57.67,"17,078.85",11.81
